ProductID,ProductName,ProductGroupID,Description,Price,Cost,SKU,Manufacturer,StockQuantity,WarrantyPeriod
43,Headphones 62,284,Top rated,615.14,477.4,SKU0444,BrandD,300,1 year(s)
44,Smartwatch 35,468,Top rated,814.51,541.06,SKU0447,BrandA,163,3 year(s)
45,Keyboard 92,189,High quality,379.02,246.61,SKU0270,BrandA,649,1 year(s)
46,Speaker 6,249,Affordable,231.29,169.63,SKU0143,BrandE,979,3 year(s)
47,Speaker 71,335,Latest model,995.02,730.33,SKU0209,BrandD,777,1 year(s)
48,Keyboard 49,200,Top rated,151.78,106.63,SKU0230,BrandD,267,2 year(s)
49,Laptop 84,361,Best seller,341.17,226.57,SKU0109,BrandE,900,1 year(s)
50,Tablet 28,23,Top rated,944.82,663.19,SKU0087,BrandD,139,2 year(s)
51,Headphones 54,383,High quality,608.71,313.36,SKU0495,BrandB,832,1 year(s)
52,Tablet 85,332,Latest model,1355.23,835.58,SKU0362,BrandA,177,1 year(s)
53,Keyboard 12,27,High quality,879.1,569.58,SKU0260,BrandA,659,2 year(s)
54,Smartphone 6,425,High quality,1276.14,829.78,SKU0448,BrandE,252,1 year(s)
55,Smartphone 86,257,Top rated,251.53,177.51,SKU0316,BrandB,468,2 year(s)
56,Speaker 99,294,High quality,1371.59,980.47,SKU0125,BrandC,155,3 year(s)
57,Monitor 85,401,Best seller,220.34,162.97,SKU0039,BrandB,383,1 year(s)
58,Headphones 91,302,Latest model,1012.73,509.06,SKU0139,BrandB,561,1 year(s)
59,Mouse 99,289,Best seller,1403.25,993.0,SKU0352,BrandD,557,1 year(s)
60,Monitor 49,92,High quality,699.55,448.76,SKU0068,BrandE,167,2 year(s)
61,Laptop 62,16,Affordable,699.96,407.8,SKU0112,BrandA,244,2 year(s)
62,Smartwatch 2,203,Affordable,850.27,571.54,SKU0324,BrandA,789,1 year(s)
63,Smartphone 12,46,Latest model,487.38,245.32,SKU0346,BrandD,683,2 year(s)
64,Monitor 96,35,Top rated,176.79,104.63,SKU0168,BrandC,873,3 year(s)
65,Smartphone 60,350,Best seller,631.35,405.92,SKU0051,BrandD,468,1 year(s)
66,Tablet 69,9,High quality,864.19,635.79,SKU0343,BrandC,697,3 year(s)
67,Monitor 52,468,Best seller,829.15,487.36,SKU0111,BrandE,985,3 year(s)
68,Smartwatch 48,439,Latest model,100.06,56.33,SKU0234,BrandC,172,3 year(s)
69,Smartwatch 50,240,Best seller,585.38,326.22,SKU0433,BrandC,462,1 year(s)
70,Camera 10,31,Affordable,879.29,598.31,SKU0200,BrandA,377,1 year(s)
71,Smartwatch 22,93,High quality,1440.9,1017.27,SKU0217,BrandC,498,3 year(s)
72,Headphones 10,468,Latest model,1400.25,1028.24,SKU0425,BrandC,94,2 year(s)
73,Mouse 95,318,Best seller,816.94,649.47,SKU0278,BrandC,246,3 year(s)
74,Laptop 13,80,Affordable,268.29,178.42,SKU0066,BrandA,507,3 year(s)
75,Smartphone 61,81,Affordable,772.62,578.57,SKU0383,BrandD,278,3 year(s)
76,Keyboard 26,376,Top rated,1475.67,795.03,SKU0106,BrandC,138,1 year(s)
77,Monitor 48,357,Top rated,1480.56,992.86,SKU0089,BrandB,847,2 year(s)
78,Keyboard 54,150,Latest model,65.57,46.35,SKU0319,BrandB,82,2 year(s)
79,Tablet 32,491,High quality,1212.06,677.04,SKU0442,BrandA,59,2 year(s)
80,Keyboard 93,349,Latest model,1038.73,763.66,SKU0040,BrandC,13,3 year(s)
81,Headphones 56,327,Top rated,390.5,265.51,SKU0186,BrandC,931,1 year(s)
82,Smartphone 57,244,High quality,705.27,553.1,SKU0427,BrandD,717,3 year(s)
83,Camera 6,470,Affordable,1207.75,960.91,SKU0347,BrandC,837,3 year(s)
84,Laptop 63,81,Latest model,1222.89,729.67,SKU0299,BrandC,483,3 year(s)
85,Speaker 80,489,High quality,91.11,55.74,SKU0293,BrandD,796,1 year(s)
86,Laptop 81,391,Affordable,436.35,260.55,SKU0033,BrandD,264,3 year(s)
87,Speaker 9,441,Top rated,1312.59,807.49,SKU0301,BrandC,327,3 year(s)
88,Laptop 16,363,Top rated,565.09,366.31,SKU0091,BrandC,547,2 year(s)
89,Camera 62,222,Top rated,1312.89,1049.98,SKU0398,BrandE,789,1 year(s)
90,Keyboard 98,46,Top rated,349.51,215.24,SKU0205,BrandA,262,2 year(s)
91,Tablet 44,44,Affordable,1311.2,745.73,SKU0431,BrandD,860,1 year(s)
92,Mouse 53,405,Latest model,819.98,589.76,SKU0318,BrandE,982,1 year(s)
93,Headphones 69,9,Best seller,205.78,150.81,SKU0406,BrandD,212,3 year(s)
94,Speaker 57,219,Top rated,385.32,250.83,SKU0181,BrandB,543,1 year(s)
95,Camera 19,413,Latest model,1177.12,648.3,SKU0274,BrandB,778,1 year(s)
96,Headphones 15,246,Top rated,523.72,359.49,SKU0040,BrandC,574,1 year(s)
97,Mouse 49,54,Affordable,719.11,407.48,SKU0275,BrandB,876,3 year(s)
98,Camera 11,70,Best seller,789.6,627.49,SKU0147,BrandE,557,3 year(s)
99,Laptop 23,44,Top rated,1283.61,645.1,SKU0011,BrandC,830,1 year(s)
100,Laptop 76,173,High quality,1393.55,1093.3,SKU0205,BrandC,6,1 year(s)
101,Keyboard 67,448,Best seller,307.38,204.63,SKU0080,BrandA,596,1 year(s)
102,Laptop 54,140,High quality,605.15,402.08,SKU0322,BrandE,219,3 year(s)
103,Mouse 97,235,Affordable,1132.82,851.7,SKU0305,BrandE,609,3 year(s)
104,Smartwatch 20,342,High quality,777.93,477.54,SKU0363,BrandB,580,1 year(s)
105,Smartphone 36,274,Best seller,562.81,380.9,SKU0123,BrandB,583,2 year(s)
106,Laptop 45,127,High quality,1110.64,639.5,SKU0441,BrandA,846,2 year(s)
107,Keyboard 39,475,Best seller,984.37,689.28,SKU0015,BrandA,727,2 year(s)
108,Speaker 6,372,Latest model,1246.74,926.81,SKU0384,BrandE,537,1 year(s)
109,Camera 58,271,Best seller,986.91,696.12,SKU0236,BrandB,873,1 year(s)
110,Tablet 31,67,Latest model,541.25,279.77,SKU0067,BrandE,800,2 year(s)
111,Mouse 73,6,Best seller,1436.07,1076.82,SKU0220,BrandB,646,2 year(s)
112,Camera 25,285,Top rated,968.15,578.08,SKU0396,BrandB,771,3 year(s)
113,Headphones 97,247,Latest model,830.32,509.28,SKU0363,BrandC,14,2 year(s)
114,Tablet 99,46,Affordable,890.05,566.3,SKU0402,BrandB,312,1 year(s)
115,Headphones 4,356,Top rated,963.83,607.45,SKU0481,BrandE,354,2 year(s)
116,Camera 43,197,Top rated,305.79,213.4,SKU0466,BrandC,25,3 year(s)
117,Keyboard 63,349,Top rated,1196.95,777.25,SKU0078,BrandD,502,1 year(s)
118,Monitor 37,283,Latest model,1145.14,826.74,SKU0329,BrandC,817,2 year(s)
119,Monitor 16,467,Affordable,158.22,96.73,SKU0456,BrandB,403,3 year(s)
120,Speaker 100,90,Affordable,1227.76,907.54,SKU0318,BrandC,289,1 year(s)
121,Tablet 76,89,High quality,1443.86,868.46,SKU0068,BrandB,264,1 year(s)
122,Monitor 73,414,High quality,252.62,151.21,SKU0239,BrandA,182,2 year(s)
123,Headphones 11,65,Latest model,257.1,196.87,SKU0430,BrandD,433,1 year(s)
124,Monitor 48,11,Top rated,437.0,226.49,SKU0197,BrandD,948,3 year(s)
125,Headphones 24,412,Best seller,1004.5,697.95,SKU0282,BrandC,525,3 year(s)
126,Monitor 14,12,Latest model,854.89,598.42,SKU0181,BrandB,851,3 year(s)
127,Mouse 26,419,High quality,443.33,283.21,SKU0173,BrandA,597,2 year(s)
128,Tablet 65,102,Affordable,302.08,151.51,SKU0297,BrandC,329,1 year(s)
129,Tablet 50,58,Affordable,108.41,74.21,SKU0383,BrandD,440,3 year(s)
130,Keyboard 49,137,Latest model,1290.06,713.34,SKU0331,BrandB,109,2 year(s)
131,Mouse 6,13,Top rated,1322.23,1051.25,SKU0378,BrandD,508,2 year(s)
132,Speaker 14,384,Top rated,454.48,322.82,SKU0151,BrandE,466,2 year(s)
133,Mouse 67,325,Affordable,1492.47,973.66,SKU0100,BrandC,442,1 year(s)
134,Headphones 47,74,High quality,684.04,396.81,SKU0496,BrandB,319,2 year(s)
135,Monitor 43,25,Latest model,1346.27,821.91,SKU0027,BrandE,335,3 year(s)
136,Camera 96,429,High quality,382.32,274.56,SKU0131,BrandB,817,2 year(s)
137,Monitor 54,283,Latest model,350.75,262.51,SKU0349,BrandD,460,3 year(s)
138,Headphones 98,473,Best seller,877.76,511.58,SKU0195,BrandB,502,2 year(s)
139,Laptop 80,189,Top rated,55.0,30.63,SKU0107,BrandB,356,3 year(s)
140,Camera 17,163,Affordable,1284.42,798.1,SKU0151,BrandA,340,2 year(s)
141,Keyboard 90,404,Best seller,1471.1,882.6,SKU0451,BrandC,137,2 year(s)
142,Laptop 12,428,High quality,732.28,410.5,SKU0235,BrandA,337,2 year(s)
143,Monitor 56,230,Affordable,1311.02,957.26,SKU0499,BrandE,511,2 year(s)
144,Speaker 89,377,Top rated,759.99,572.86,SKU0173,BrandB,522,3 year(s)
145,Smartwatch 72,478,Affordable,353.07,220.23,SKU0158,BrandD,621,2 year(s)
146,Speaker 76,171,Best seller,1484.7,1164.45,SKU0098,BrandC,53,3 year(s)
147,Laptop 69,6,Affordable,1166.95,788.0,SKU0176,BrandC,385,1 year(s)
148,Monitor 64,1,Latest model,346.85,213.6,SKU0068,BrandC,223,1 year(s)
149,Keyboard 62,380,Latest model,107.28,75.72,SKU0312,BrandC,158,2 year(s)
150,Laptop 81,367,Best seller,611.16,326.3,SKU0414,BrandC,324,3 year(s)
151,Mouse 87,392,Latest model,507.59,338.34,SKU0185,BrandE,315,2 year(s)
152,Keyboard 36,158,Affordable,640.12,491.1,SKU0437,BrandE,734,2 year(s)
153,Camera 64,481,Best seller,698.99,375.15,SKU0100,BrandA,327,1 year(s)
154,Smartphone 76,305,High quality,214.18,148.92,SKU0473,BrandD,253,3 year(s)
155,Camera 36,458,Affordable,1121.85,685.56,SKU0067,BrandA,700,1 year(s)
156,Smartwatch 90,428,Affordable,577.49,419.23,SKU0001,BrandD,180,1 year(s)
157,Keyboard 19,172,High quality,1135.65,827.76,SKU0248,BrandE,27,2 year(s)
158,Smartphone 18,272,Affordable,743.15,544.49,SKU0315,BrandD,826,3 year(s)
159,Headphones 18,469,High quality,1078.13,734.82,SKU0014,BrandB,219,3 year(s)
160,Smartwatch 31,242,Best seller,77.29,44.75,SKU0360,BrandE,239,1 year(s)
161,Mouse 14,113,Top rated,188.62,106.26,SKU0437,BrandA,626,2 year(s)
162,Monitor 46,85,Top rated,1075.85,829.76,SKU0101,BrandB,154,3 year(s)
163,Headphones 15,274,High quality,576.3,402.92,SKU0191,BrandD,990,2 year(s)
164,Monitor 33,116,Latest model,1038.78,587.73,SKU0500,BrandA,22,2 year(s)
165,Headphones 52,265,Best seller,1462.83,1039.73,SKU0418,BrandB,638,1 year(s)
166,Tablet 97,285,Affordable,56.4,43.2,SKU0464,BrandE,121,1 year(s)
167,Laptop 38,454,Best seller,556.22,434.2,SKU0361,BrandB,125,3 year(s)
168,Smartphone 57,370,High quality,493.68,325.07,SKU0128,BrandD,351,1 year(s)
169,Mouse 17,215,Latest model,1245.07,744.82,SKU0370,BrandE,706,1 year(s)
170,Monitor 7,226,Top rated,435.36,335.75,SKU0135,BrandE,557,1 year(s)
171,Speaker 82,189,High quality,746.22,528.98,SKU0115,BrandC,471,1 year(s)
172,Keyboard 99,402,Affordable,1165.26,636.8,SKU0489,BrandE,502,2 year(s)
173,Keyboard 20,217,Latest model,90.21,50.9,SKU0470,BrandB,57,3 year(s)
174,Keyboard 34,428,Affordable,224.66,176.42,SKU0312,BrandC,884,1 year(s)
175,Laptop 16,318,Best seller,920.65,573.53,SKU0337,BrandB,701,1 year(s)
176,Monitor 5,476,Affordable,1436.62,897.91,SKU0032,BrandB,855,3 year(s)
177,Camera 62,167,Top rated,544.32,381.45,SKU0266,BrandC,861,2 year(s)
178,Headphones 19,201,Affordable,1157.87,922.04,SKU0442,BrandE,482,2 year(s)
179,Camera 25,392,High quality,338.69,244.89,SKU0411,BrandE,71,3 year(s)
180,Smartphone 92,7,Top rated,1055.99,754.06,SKU0358,BrandE,649,1 year(s)
181,Headphones 35,251,High quality,505.97,325.82,SKU0387,BrandC,405,2 year(s)
182,Camera 36,279,Latest model,944.38,601.08,SKU0002,BrandA,159,3 year(s)
183,Laptop 29,19,Top rated,979.58,716.78,SKU0118,BrandE,416,1 year(s)
184,Smartphone 92,158,Latest model,478.27,345.06,SKU0024,BrandA,170,1 year(s)
185,Smartphone 55,185,Affordable,1247.86,659.71,SKU0052,BrandB,863,2 year(s)
186,Camera 82,180,Affordable,697.38,548.57,SKU0434,BrandD,716,3 year(s)
187,Smartphone 88,72,Top rated,347.29,217.92,SKU0270,BrandA,646,2 year(s)
188,Mouse 9,216,Best seller,996.86,609.03,SKU0312,BrandD,700,1 year(s)
189,Mouse 67,205,Best seller,632.77,394.56,SKU0478,BrandD,249,1 year(s)
190,Camera 47,27,Top rated,652.3,426.13,SKU0174,BrandE,151,1 year(s)
191,Headphones 28,231,Top rated,1435.09,989.62,SKU0184,BrandA,954,1 year(s)
192,Mouse 36,314,Best seller,740.21,397.12,SKU0001,BrandB,628,3 year(s)
193,Monitor 93,309,Best seller,1134.62,843.79,SKU0166,BrandA,755,2 year(s)
194,Speaker 99,31,Best seller,770.96,516.81,SKU0211,BrandD,729,2 year(s)
195,Mouse 11,445,High quality,790.19,440.41,SKU0118,BrandE,420,3 year(s)
196,Smartwatch 79,142,Latest model,287.33,146.19,SKU0458,BrandB,311,2 year(s)
197,Keyboard 51,205,High quality,277.43,145.96,SKU0299,BrandE,65,1 year(s)
198,Monitor 64,230,Top rated,563.97,423.97,SKU0493,BrandE,995,3 year(s)
199,Tablet 78,10,High quality,1073.36,557.22,SKU0151,BrandC,520,1 year(s)
200,Headphones 77,453,High quality,1477.22,777.8,SKU0328,BrandD,524,3 year(s)
201,Mouse 44,411,High quality,99.29,71.72,SKU0331,BrandD,138,2 year(s)
202,Keyboard 94,132,Best seller,638.97,340.61,SKU0202,BrandA,636,1 year(s)
203,Smartwatch 9,176,High quality,824.06,520.31,SKU0213,BrandB,757,3 year(s)
204,Laptop 18,21,Latest model,1147.65,804.93,SKU0343,BrandC,877,2 year(s)
205,Speaker 52,162,Top rated,986.4,691.37,SKU0295,BrandA,637,1 year(s)
206,Smartwatch 38,139,Best seller,505.78,382.88,SKU0043,BrandA,24,3 year(s)
207,Laptop 92,408,Best seller,1032.43,718.54,SKU0045,BrandA,498,2 year(s)
208,Monitor 87,166,Affordable,577.32,442.1,SKU0009,BrandC,795,1 year(s)
209,Headphones 63,260,Latest model,1340.62,694.76,SKU0386,BrandD,469,3 year(s)
210,Camera 64,372,Best seller,701.53,496.92,SKU0196,BrandC,869,2 year(s)
211,Monitor 69,198,Best seller,629.02,389.75,SKU0281,BrandE,796,3 year(s)
212,Keyboard 61,165,Best seller,667.09,443.16,SKU0135,BrandC,921,1 year(s)
213,Camera 71,282,Top rated,556.18,393.78,SKU0372,BrandA,937,2 year(s)
214,Camera 96,282,High quality,1082.13,623.88,SKU0031,BrandC,525,2 year(s)
215,Headphones 83,110,Affordable,919.4,694.55,SKU0022,BrandD,599,2 year(s)
216,Keyboard 11,496,Best seller,1272.1,981.21,SKU0082,BrandC,237,2 year(s)
217,Speaker 95,252,Affordable,1420.12,1127.2,SKU0054,BrandD,269,2 year(s)
218,Smartwatch 20,424,Best seller,1497.04,907.37,SKU0191,BrandA,575,3 year(s)
219,Speaker 91,358,High quality,971.55,630.8,SKU0410,BrandD,392,1 year(s)
220,Headphones 13,175,Latest model,253.57,182.34,SKU0405,BrandB,769,3 year(s)
221,Laptop 87,387,Best seller,196.75,113.36,SKU0108,BrandD,644,1 year(s)
222,Mouse 86,221,High quality,1189.62,642.82,SKU0204,BrandB,584,2 year(s)
223,Camera 37,360,Affordable,1208.89,702.52,SKU0289,BrandD,534,3 year(s)
224,Keyboard 5,300,Affordable,687.21,509.89,SKU0143,BrandE,746,2 year(s)
225,Speaker 63,252,Best seller,385.79,219.96,SKU0219,BrandE,547,2 year(s)
226,Monitor 78,286,Latest model,1237.26,714.81,SKU0405,BrandC,223,3 year(s)
227,Smartphone 50,377,Affordable,150.8,102.96,SKU0119,BrandE,489,1 year(s)
228,Monitor 44,385,Latest model,1242.18,724.72,SKU0386,BrandB,413,2 year(s)
229,Camera 12,56,Top rated,751.63,555.3,SKU0285,BrandC,119,3 year(s)
230,Keyboard 97,339,Best seller,1459.25,752.35,SKU0451,BrandC,839,1 year(s)
231,Speaker 21,243,Affordable,433.63,312.72,SKU0408,BrandD,915,1 year(s)
232,Keyboard 21,238,Best seller,1257.88,655.12,SKU0488,BrandA,478,3 year(s)
233,Smartwatch 34,61,Top rated,1163.56,920.15,SKU0471,BrandB,589,3 year(s)
234,Mouse 87,223,Affordable,685.69,449.05,SKU0239,BrandA,245,1 year(s)
235,Headphones 50,427,High quality,157.02,89.68,SKU0413,BrandC,940,1 year(s)
236,Smartphone 5,312,Top rated,969.29,577.82,SKU0372,BrandB,110,2 year(s)
237,Camera 45,341,High quality,1198.62,900.67,SKU0425,BrandD,582,1 year(s)
238,Monitor 36,239,Affordable,800.07,457.21,SKU0339,BrandA,15,2 year(s)
239,Laptop 95,61,Best seller,154.85,119.48,SKU0036,BrandC,947,2 year(s)
240,Headphones 88,232,Best seller,1374.94,737.74,SKU0488,BrandB,685,1 year(s)
241,Smartphone 69,372,Best seller,326.82,258.75,SKU0325,BrandE,830,1 year(s)
242,Laptop 16,476,Top rated,957.83,733.17,SKU0240,BrandC,132,3 year(s)
243,Tablet 41,373,High quality,730.85,540.06,SKU0314,BrandE,337,1 year(s)
244,Smartphone 41,301,Latest model,407.36,234.73,SKU0199,BrandD,502,1 year(s)
245,Smartphone 65,287,Affordable,1033.14,818.92,SKU0328,BrandA,207,3 year(s)
246,Smartphone 16,53,Top rated,227.66,126.91,SKU0245,BrandD,141,2 year(s)
247,Headphones 91,272,Affordable,578.4,410.73,SKU0468,BrandD,522,3 year(s)
248,Smartphone 76,117,Affordable,540.9,396.2,SKU0387,BrandE,995,3 year(s)
249,Speaker 48,310,Top rated,315.92,201.31,SKU0419,BrandE,747,2 year(s)
250,Tablet 12,120,Latest model,413.28,307.12,SKU0411,BrandC,260,3 year(s)
251,Keyboard 16,71,Affordable,212.84,166.85,SKU0457,BrandB,613,1 year(s)
252,Headphones 77,386,Affordable,227.37,113.87,SKU0169,BrandB,521,2 year(s)
253,Mouse 59,438,Top rated,579.62,445.95,SKU0411,BrandC,12,3 year(s)
254,Laptop 41,427,Top rated,1159.92,603.23,SKU0351,BrandB,444,1 year(s)
255,Keyboard 76,495,Affordable,1210.77,719.86,SKU0102,BrandD,899,1 year(s)
256,Smartwatch 24,483,Best seller,930.01,479.49,SKU0291,BrandD,502,2 year(s)
257,Speaker 17,80,Top rated,749.07,582.46,SKU0261,BrandD,962,3 year(s)
258,Monitor 60,132,Top rated,874.83,496.57,SKU0470,BrandA,303,1 year(s)
259,Mouse 96,405,High quality,956.84,511.57,SKU0179,BrandB,129,1 year(s)
260,Headphones 33,237,High quality,929.63,601.58,SKU0496,BrandC,369,3 year(s)
261,Mouse 66,45,Top rated,919.36,655.69,SKU0180,BrandD,487,2 year(s)
262,Speaker 55,77,High quality,402.17,282.02,SKU0279,BrandB,791,1 year(s)
263,Camera 97,234,Top rated,422.67,216.95,SKU0449,BrandB,684,3 year(s)
264,Tablet 89,327,Latest model,1120.6,627.2,SKU0484,BrandD,695,1 year(s)
265,Monitor 12,78,Top rated,1331.54,734.78,SKU0243,BrandE,124,1 year(s)
266,Tablet 93,187,Affordable,1181.13,765.68,SKU0448,BrandC,522,3 year(s)
267,Camera 26,146,Best seller,493.63,342.14,SKU0146,BrandA,939,2 year(s)
268,Keyboard 55,342,Best seller,226.79,156.22,SKU0097,BrandE,521,3 year(s)
269,Smartwatch 92,228,Best seller,370.78,216.07,SKU0431,BrandB,647,3 year(s)
270,Keyboard 53,280,High quality,935.66,649.34,SKU0439,BrandA,344,2 year(s)
271,Tablet 66,22,High quality,156.28,91.9,SKU0419,BrandC,853,2 year(s)
272,Headphones 59,210,Best seller,1106.76,864.27,SKU0021,BrandC,43,1 year(s)
273,Tablet 93,55,High quality,1185.56,932.11,SKU0448,BrandE,337,3 year(s)
274,Headphones 41,305,Top rated,1229.84,786.76,SKU0376,BrandB,860,1 year(s)
275,Smartwatch 36,194,Latest model,180.19,100.59,SKU0404,BrandA,76,3 year(s)
276,Camera 60,142,Best seller,1101.59,690.59,SKU0208,BrandD,303,3 year(s)
277,Smartwatch 52,180,Affordable,1237.28,936.91,SKU0121,BrandE,0,3 year(s)
278,Laptop 17,1,High quality,1058.52,663.42,SKU0097,BrandE,132,2 year(s)
279,Tablet 39,405,High quality,1355.65,799.16,SKU0499,BrandD,439,3 year(s)
280,Tablet 73,448,Best seller,900.62,653.76,SKU0434,BrandE,861,2 year(s)
281,Monitor 77,274,Top rated,275.68,196.33,SKU0439,BrandA,110,3 year(s)
282,Keyboard 69,26,Latest model,925.36,579.76,SKU0294,BrandC,323,2 year(s)
283,Headphones 15,309,Latest model,1323.33,834.68,SKU0003,BrandE,669,2 year(s)
284,Mouse 2,267,High quality,1497.49,1076.01,SKU0334,BrandA,886,2 year(s)
285,Monitor 92,373,High quality,587.18,451.82,SKU0370,BrandA,34,2 year(s)
286,Camera 56,126,Affordable,946.39,704.08,SKU0416,BrandD,54,2 year(s)
287,Tablet 2,18,Best seller,641.47,455.24,SKU0476,BrandD,958,1 year(s)
288,Headphones 29,183,Best seller,300.04,150.25,SKU0423,BrandA,239,1 year(s)
289,Smartwatch 77,40,Top rated,656.54,329.88,SKU0157,BrandC,973,2 year(s)
290,Speaker 2,122,Affordable,518.22,399.55,SKU0164,BrandE,963,3 year(s)
291,Mouse 45,325,Affordable,679.33,422.79,SKU0116,BrandC,962,3 year(s)
292,Smartphone 73,9,Top rated,1460.41,902.73,SKU0401,BrandE,436,2 year(s)
293,Speaker 48,236,Top rated,1372.72,688.09,SKU0158,BrandD,14,1 year(s)
294,Speaker 5,327,Affordable,428.63,313.38,SKU0295,BrandC,27,3 year(s)
295,Laptop 57,55,Latest model,205.74,146.56,SKU0285,BrandA,560,2 year(s)
296,Laptop 45,472,Top rated,1452.12,1124.81,SKU0131,BrandC,487,1 year(s)
297,Speaker 93,350,Top rated,455.18,235.76,SKU0479,BrandC,284,3 year(s)
298,Smartphone 68,73,Top rated,446.78,299.5,SKU0154,BrandA,210,1 year(s)
299,Keyboard 38,164,Affordable,1367.84,949.24,SKU0337,BrandE,868,3 year(s)
300,Speaker 81,267,Affordable,1289.0,974.91,SKU0254,BrandC,530,2 year(s)
301,Mouse 1,106,High quality,1193.79,857.33,SKU0398,BrandB,141,1 year(s)
302,Laptop 32,369,Best seller,341.46,254.66,SKU0404,BrandA,500,2 year(s)
303,Monitor 98,133,Top rated,1410.07,818.01,SKU0121,BrandD,136,2 year(s)
304,Camera 10,241,Top rated,389.45,295.78,SKU0010,BrandE,486,3 year(s)
305,Headphones 75,242,High quality,455.78,247.9,SKU0297,BrandE,880,3 year(s)
306,Monitor 13,90,Affordable,1471.82,768.15,SKU0441,BrandC,918,1 year(s)
307,Keyboard 19,151,Affordable,1431.49,919.56,SKU0411,BrandD,937,2 year(s)
308,Monitor 14,122,Best seller,303.02,233.56,SKU0370,BrandA,140,3 year(s)
309,Headphones 12,161,Latest model,406.77,245.11,SKU0094,BrandD,71,1 year(s)
310,Monitor 34,162,Latest model,487.44,340.05,SKU0109,BrandB,421,1 year(s)
311,Laptop 90,332,Best seller,1294.3,737.33,SKU0454,BrandA,851,1 year(s)
312,Smartwatch 66,151,Affordable,1446.25,1095.69,SKU0434,BrandA,136,2 year(s)
